,id,date,city,store_localisation_x,store_localisation_y,product,quantity,event_ID,is_event,min_people,max_people,store_id
0,1,01.04.2024,Krakow,50.068749673754766,19.90993680739393,beer,100,-1,-1.0,-1.0,-1.0,0
1,2,01.04.2024,Krakow,50.068749673754766,19.90993680739393,bread/bakery,426,-1,-1.0,-1.0,-1.0,0
2,3,01.04.2024,Krakow,50.068749673754766,19.90993680739393,beverages,322,-1,-1.0,-1.0,-1.0,0
3,4,01.04.2024,Krakow,50.068749673754766,19.90993680739393,dairy,54,-1,-1.0,-1.0,-1.0,0
4,5,01.04.2024,Krakow,50.068749673754766,19.90993680739393,eggs,67,-1,-1.0,-1.0,-1.0,0
5,6,01.04.2024,Krakow,50.068749673754766,19.90993680739393,sweets,202,-1,-1.0,-1.0,-1.0,0
6,7,01.04.2024,Krakow,50.068749673754766,19.90993680739393,meat,21,-1,-1.0,-1.0,-1.0,0
7,8,01.04.2024,Krakow,50.068749673754766,19.90993680739393,cleaning_products,240,-1,-1.0,-1.0,-1.0,0
8,9,01.04.2024,Krakow,50.068749673754766,19.90993680739393,vegetables,448,-1,-1.0,-1.0,-1.0,0
9,10,01.04.2024,Krakow,50.068749673754766,19.90993680739393,fruits,268,-1,-1.0,-1.0,-1.0,0
10,11,01.04.2024,Krakow,50.068749673754766,19.90993680739393,chips,116,-1,-1.0,-1.0,-1.0,0
11,12,01.04.2024,Krakow,50.068749673754766,19.90993680739393,ice_cream,217,-1,-1.0,-1.0,-1.0,0
12,13,01.04.2024,Krakow,50.068749673754766,19.90993680739393,alcohol,81,-1,-1.0,-1.0,-1.0,0
13,14,01.04.2024,Krakow,50.07587092194372,19.931398629767745,beer,127,-1,-1.0,-1.0,-1.0,1
14,15,01.04.2024,Krakow,50.07587092194372,19.931398629767745,bread/bakery,453,-1,-1.0,-1.0,-1.0,1
15,16,01.04.2024,Krakow,50.07587092194372,19.931398629767745,beverages,334,-1,-1.0,-1.0,-1.0,1
16,17,01.04.2024,Krakow,50.07587092194372,19.931398629767745,dairy,29,-1,-1.0,-1.0,-1.0,1
17,18,01.04.2024,Krakow,50.07587092194372,19.931398629767745,eggs,66,-1,-1.0,-1.0,-1.0,1
18,19,01.04.2024,Krakow,50.07587092194372,19.931398629767745,sweets,245,-1,-1.0,-1.0,-1.0,1
19,20,01.04.2024,Krakow,50.07587092194372,19.931398629767745,meat,56,-1,-1.0,-1.0,-1.0,1
20,21,01.04.2024,Krakow,50.07587092194372,19.931398629767745,cleaning_products,156,-1,-1.0,-1.0,-1.0,1
21,22,01.04.2024,Krakow,50.07587092194372,19.931398629767745,vegetables,303,-1,-1.0,-1.0,-1.0,1
22,23,01.04.2024,Krakow,50.07587092194372,19.931398629767745,fruits,228,-1,-1.0,-1.0,-1.0,1
23,24,01.04.2024,Krakow,50.07587092194372,19.931398629767745,chips,133,-1,-1.0,-1.0,-1.0,1
24,25,01.04.2024,Krakow,50.07587092194372,19.931398629767745,ice_cream,173,-1,-1.0,-1.0,-1.0,1
25,26,01.04.2024,Krakow,50.07587092194372,19.931398629767745,alcohol,99,-1,-1.0,-1.0,-1.0,1
26,27,01.04.2024,Krakow,50.066587544336336,19.9864214655028,beer,199,-1,-1.0,-1.0,-1.0,2
27,28,01.04.2024,Krakow,50.066587544336336,19.9864214655028,bread/bakery,245,-1,-1.0,-1.0,-1.0,2
28,29,01.04.2024,Krakow,50.066587544336336,19.9864214655028,beverages,392,-1,-1.0,-1.0,-1.0,2
29,30,01.04.2024,Krakow,50.066587544336336,19.9864214655028,dairy,62,-1,-1.0,-1.0,-1.0,2
30,31,01.04.2024,Krakow,50.066587544336336,19.9864214655028,eggs,67,-1,-1.0,-1.0,-1.0,2
31,32,01.04.2024,Krakow,50.066587544336336,19.9864214655028,sweets,276,-1,-1.0,-1.0,-1.0,2
32,33,01.04.2024,Krakow,50.066587544336336,19.9864214655028,meat,27,-1,-1.0,-1.0,-1.0,2
33,34,01.04.2024,Krakow,50.066587544336336,19.9864214655028,cleaning_products,136,-1,-1.0,-1.0,-1.0,2
34,35,01.04.2024,Krakow,50.066587544336336,19.9864214655028,vegetables,431,-1,-1.0,-1.0,-1.0,2
35,36,01.04.2024,Krakow,50.066587544336336,19.9864214655028,fruits,305,-1,-1.0,-1.0,-1.0,2
36,37,01.04.2024,Krakow,50.066587544336336,19.9864214655028,chips,156,-1,-1.0,-1.0,-1.0,2
37,38,01.04.2024,Krakow,50.066587544336336,19.9864214655028,ice_cream,159,-1,-1.0,-1.0,-1.0,2
38,39,01.04.2024,Krakow,50.066587544336336,19.9864214655028,alcohol,89,-1,-1.0,-1.0,-1.0,2
39,40,01.04.2024,Krakow,50.059562,19.944928,beer,104,-1,-1.0,-1.0,-1.0,3
40,41,01.04.2024,Krakow,50.059562,19.944928,bread/bakery,450,-1,-1.0,-1.0,-1.0,3
41,42,01.04.2024,Krakow,50.059562,19.944928,beverages,464,-1,-1.0,-1.0,-1.0,3
42,43,01.04.2024,Krakow,50.059562,19.944928,dairy,36,-1,-1.0,-1.0,-1.0,3
43,44,01.04.2024,Krakow,50.059562,19.944928,eggs,36,-1,-1.0,-1.0,-1.0,3
