date,unit_sales,store_id
01.05.2024,190,3
02.05.2024,172,3
03.05.2024,168,3
04.05.2024,637,3
05.05.2024,798,3
06.05.2024,139,3
07.05.2024,192,3
08.05.2024,157,3
09.05.2024,144,3
10.05.2024,120,3
11.05.2024,716,3
12.05.2024,714,3
13.05.2024,188,3
14.05.2024,112,3
15.05.2024,175,3
16.05.2024,115,3
17.05.2024,147,3
18.05.2024,621,3
19.05.2024,777,3
20.05.2024,111,3
21.05.2024,112,3
22.05.2024,169,3
23.05.2024,193,3
24.05.2024,189,3
25.05.2024,500,3
26.05.2024,793,3
27.05.2024,144,3
28.05.2024,103,3
29.05.2024,131,3
30.05.2024,157,3
31.05.2024,108,3
01.06.2024,462,3
02.06.2024,484,3
03.06.2024,198,3
04.06.2024,137,3
05.06.2024,104,3
06.06.2024,162,3
07.06.2024,126,3
08.06.2024,701,3
09.06.2024,696,3
10.06.2024,104,3
11.06.2024,149,3
12.06.2024,132,3
13.06.2024,166,3
14.06.2024,122,3
15.06.2024,591,3
16.06.2024,578,3
17.06.2024,161,3
18.06.2024,181,3
19.06.2024,176,3
20.06.2024,131,3
21.06.2024,200,3
22.06.2024,758,3
23.06.2024,741,3
24.06.2024,130,3
25.06.2024,116,3
26.06.2024,168,3
27.06.2024,109,3
28.06.2024,155,3
29.06.2024,791,3
30.06.2024,518,3
01.07.2024,154,3
02.07.2024,195,3
03.07.2024,179,3
04.07.2024,166,3
05.07.2024,190,3
06.07.2024,604,3
07.07.2024,445,3
08.07.2024,127,3
09.07.2024,198,3
10.07.2024,174,3
11.07.2024,117,3
12.07.2024,103,3
13.07.2024,600,3
14.07.2024,515,3
15.07.2024,107,3
16.07.2024,104,3
17.07.2024,129,3
18.07.2024,191,3
19.07.2024,137,3
20.07.2024,525,3
21.07.2024,432,3
22.07.2024,143,3
23.07.2024,115,3
24.07.2024,161,3
25.07.2024,142,3
26.07.2024,186,3
27.07.2024,494,3
28.07.2024,698,3
29.07.2024,122,3
30.07.2024,111,3
