date,unit_sales,store_id
01.05.2024,118,8
02.05.2024,113,8
03.05.2024,101,8
04.05.2024,1531,8
05.05.2024,549,8
06.05.2024,183,8
07.05.2024,117,8
08.05.2024,175,8
09.05.2024,170,8
10.05.2024,196,8
11.05.2024,499,8
12.05.2024,540,8
13.05.2024,161,8
14.05.2024,160,8
15.05.2024,183,8
16.05.2024,123,8
17.05.2024,106,8
18.05.2024,759,8
19.05.2024,461,8
20.05.2024,165,8
21.05.2024,519,8
22.05.2024,146,8
23.05.2024,104,8
24.05.2024,178,8
25.05.2024,616,8
26.05.2024,479,8
27.05.2024,180,8
28.05.2024,116,8
29.05.2024,160,8
30.05.2024,193,8
31.05.2024,198,8
01.06.2024,692,8
02.06.2024,655,8
03.06.2024,163,8
04.06.2024,162,8
05.06.2024,137,8
06.06.2024,120,8
07.06.2024,124,8
08.06.2024,714,8
09.06.2024,641,8
10.06.2024,160,8
11.06.2024,114,8
12.06.2024,152,8
13.06.2024,120,8
14.06.2024,141,8
15.06.2024,564,8
16.06.2024,783,8
17.06.2024,147,8
18.06.2024,149,8
19.06.2024,158,8
20.06.2024,142,8
21.06.2024,162,8
22.06.2024,755,8
23.06.2024,584,8
24.06.2024,124,8
25.06.2024,119,8
26.06.2024,150,8
27.06.2024,193,8
28.06.2024,185,8
29.06.2024,428,8
30.06.2024,476,8
01.07.2024,746,8
02.07.2024,100,8
03.07.2024,169,8
04.07.2024,106,8
05.07.2024,179,8
06.07.2024,799,8
07.07.2024,456,8
08.07.2024,104,8
09.07.2024,157,8
10.07.2024,132,8
11.07.2024,197,8
12.07.2024,189,8
13.07.2024,1493,8
14.07.2024,692,8
15.07.2024,130,8
16.07.2024,199,8
17.07.2024,562,8
18.07.2024,196,8
19.07.2024,139,8
20.07.2024,526,8
21.07.2024,666,8
22.07.2024,167,8
23.07.2024,134,8
24.07.2024,123,8
25.07.2024,187,8
26.07.2024,756,8
27.07.2024,753,8
28.07.2024,749,8
29.07.2024,123,8
30.07.2024,108,8
