date,unit_sales,store_id
01.05.2024,139,6
02.05.2024,106,6
03.05.2024,174,6
04.05.2024,429,6
05.05.2024,721,6
06.05.2024,128,6
07.05.2024,151,6
08.05.2024,156,6
09.05.2024,166,6
10.05.2024,191,6
11.05.2024,740,6
12.05.2024,596,6
13.05.2024,166,6
14.05.2024,181,6
15.05.2024,180,6
16.05.2024,191,6
17.05.2024,126,6
18.05.2024,764,6
19.05.2024,511,6
20.05.2024,120,6
21.05.2024,165,6
22.05.2024,100,6
23.05.2024,130,6
24.05.2024,187,6
25.05.2024,551,6
26.05.2024,649,6
27.05.2024,182,6
28.05.2024,194,6
29.05.2024,140,6
30.05.2024,187,6
31.05.2024,194,6
01.06.2024,758,6
02.06.2024,524,6
03.06.2024,158,6
04.06.2024,103,6
05.06.2024,159,6
06.06.2024,157,6
07.06.2024,150,6
08.06.2024,572,6
09.06.2024,600,6
10.06.2024,129,6
11.06.2024,179,6
12.06.2024,167,6
13.06.2024,196,6
14.06.2024,190,6
15.06.2024,585,6
16.06.2024,477,6
17.06.2024,104,6
18.06.2024,179,6
19.06.2024,144,6
20.06.2024,189,6
21.06.2024,138,6
22.06.2024,425,6
23.06.2024,560,6
24.06.2024,129,6
25.06.2024,198,6
26.06.2024,150,6
27.06.2024,117,6
28.06.2024,110,6
29.06.2024,634,6
30.06.2024,682,6
01.07.2024,174,6
02.07.2024,190,6
03.07.2024,148,6
04.07.2024,132,6
05.07.2024,136,6
06.07.2024,779,6
07.07.2024,652,6
08.07.2024,150,6
09.07.2024,179,6
10.07.2024,162,6
11.07.2024,106,6
12.07.2024,180,6
13.07.2024,618,6
14.07.2024,524,6
15.07.2024,143,6
16.07.2024,196,6
17.07.2024,122,6
18.07.2024,192,6
19.07.2024,112,6
20.07.2024,431,6
21.07.2024,463,6
22.07.2024,173,6
23.07.2024,142,6
24.07.2024,125,6
25.07.2024,189,6
26.07.2024,175,6
27.07.2024,448,6
28.07.2024,732,6
29.07.2024,150,6
30.07.2024,117,6
