date,unit_sales,store_id
01.05.2024,123,5
02.05.2024,124,5
03.05.2024,114,5
04.05.2024,439,5
05.05.2024,559,5
06.05.2024,156,5
07.05.2024,148,5
08.05.2024,143,5
09.05.2024,133,5
10.05.2024,173,5
11.05.2024,465,5
12.05.2024,730,5
13.05.2024,190,5
14.05.2024,183,5
15.05.2024,174,5
16.05.2024,104,5
17.05.2024,197,5
18.05.2024,477,5
19.05.2024,404,5
20.05.2024,109,5
21.05.2024,136,5
22.05.2024,191,5
23.05.2024,136,5
24.05.2024,172,5
25.05.2024,543,5
26.05.2024,423,5
27.05.2024,191,5
28.05.2024,165,5
29.05.2024,106,5
30.05.2024,196,5
31.05.2024,155,5
01.06.2024,750,5
02.06.2024,554,5
03.06.2024,140,5
04.06.2024,133,5
05.06.2024,168,5
06.06.2024,192,5
07.06.2024,175,5
08.06.2024,429,5
09.06.2024,672,5
10.06.2024,151,5
11.06.2024,159,5
12.06.2024,136,5
13.06.2024,100,5
14.06.2024,126,5
15.06.2024,677,5
16.06.2024,596,5
17.06.2024,144,5
18.06.2024,115,5
19.06.2024,184,5
20.06.2024,176,5
21.06.2024,168,5
22.06.2024,594,5
23.06.2024,609,5
24.06.2024,104,5
25.06.2024,117,5
26.06.2024,189,5
27.06.2024,102,5
28.06.2024,145,5
29.06.2024,673,5
30.06.2024,423,5
01.07.2024,188,5
02.07.2024,198,5
03.07.2024,133,5
04.07.2024,107,5
05.07.2024,106,5
06.07.2024,606,5
07.07.2024,750,5
08.07.2024,169,5
09.07.2024,106,5
10.07.2024,149,5
11.07.2024,172,5
12.07.2024,147,5
13.07.2024,455,5
14.07.2024,548,5
15.07.2024,186,5
16.07.2024,175,5
17.07.2024,136,5
18.07.2024,196,5
19.07.2024,196,5
20.07.2024,739,5
21.07.2024,589,5
22.07.2024,139,5
23.07.2024,102,5
24.07.2024,137,5
25.07.2024,108,5
26.07.2024,183,5
27.07.2024,670,5
28.07.2024,760,5
29.07.2024,169,5
30.07.2024,178,5
