,Unnamed: 0,artist,link,city,date,venue,description,latitude,longitude
492,492,Gregory Porter,https://koncertyw.pl/gregory-porter-wroclaw-nfm-16-07-2024/,Wrocław, 16.07.2024r.,NFM,"Gregory Porter zdobył uznanie swoją unikalną interpretacją jazzu, łącząc elementy tradycyjnego jazzu, soulu i R&B. Jego talent wokalny oraz głębokie, emocjonalne teksty sprawiają, że jest jednym z najbardziej szanowanych artystów współczesnej sceny jazzowej. 
 ",51.1071154,17.0263899
493,493,Infected Rain,https://koncertyw.pl/infected-rain-poznan-2progi-16-07-2024/,Poznań, 16.07.2024r.,2progi,"Infected Rain na dwóch koncertach w Polsce! Mołdawski zespół zagra w poznańskim klubie 2progi 16. lipca 2024r. oraz dzień później w Krakówie promując swój nowy album. Czekamy na ogłoszenie supportów. 
 Ceny biletów na koncert Infected Rain w Poznaniu zaczynają się od 112zł. Bilety są już w sprzedaży! 
 ",52.4148447,16.9264591
494,494,The Midnight,https://koncertyw.pl/the-midnight-warszawa-niebo-17-07-2024/,Warszawa, 17.07.2024r.,Progresja,"21.10 - The Midnight 
 ",52.2248057,20.9288555
495,495,Kings of Leon,https://koncertyw.pl/kings-of-leon-krakow-tauron-arena-17-07-2024/,Kraków, 17.07.2024r.,Tauron Arena,"20.00 - Kings of Leon 
 Ceny biletów na krakowski koncert Kings of Leon, w przypadku płyty zaczynają się od 318zł oraz 491zł dla Golden Circle, a za wejściówki na trybuny trzeba zapłacić od 361zł do 513zł. 
 ",50.0677147,19.9913921
496,496,Infected Rain,https://koncertyw.pl/infected-rain-krakow-kwadrat-17-07-2024/,Kraków, 17.07.2024r.,Kwadrat,"Infected Rain na dwóch koncertach w Polsce! Mołdawski zespół zagra w krakowskim klubie Kwadrat 17. lipca 2024r. oraz dzień wcześniej w Poznaniu promując swój nowy album. Czekamy na ogłoszenie supportów. 
 Ceny biletów na koncert Infected Rain w Krakowie zaczynają się od 112zł. Bilety są już w sprzedaży! 
 ",50.0839039,19.9964117
497,497,Hauser,https://koncertyw.pl/hauser-krakow-tauron-arena-19-07-2024/,Kraków, 19.07.2024r.,Tauron Arena,,50.0677147,19.9913921
498,498,WROsound 2024,https://koncertyw.pl/wrosound-2024/,Wrocław, 19-20.07.2024r.,other,,51.10929480000001,17.0386019
499,499,Lenny Kravitz,https://koncertyw.pl/lenny-kravitz-krakow-tauron-arena-21-07-2024/,Kraków, 21.07.2024r.,Tauron Arena,"21.00 - Lenny Kravitz 
 Lenny Kravitz 21. lipca 2024 roku odwiedzi krakowską Tauron Arenę! 
 ",50.0677147,19.9913921
500,500,Hauser,https://koncertyw.pl/hauser-lodz-atlas-arena-21-07-2024/,Łódź, 21.07.2024r.,Atlas Arena,,51.7579433,19.4286245
501,501,Lenny Kravitz,https://koncertyw.pl/lenny-kravitz-lodz-atlas-arena-23-07-2024/,Łódź, 23.07.2024r.,Atlas Arena,"21.00 - Lenny Kravitz 
 Lenny Kravitz 23. lipca 2024 roku, we wtorek, odwiedzi łódzką Atlas Arenę! 
 

				Lenny Kravitz – Kraków 2024 – relacja			
 
 ",51.7579433,19.4286245
502,502,Wisdom in Chains,https://koncertyw.pl/wisdom-in-chains-poznan-pod-minoga-24-07-2024/,Poznań, 24.07.2024r.,Pod Minogą,,52.4093133,16.9270958
503,503,Justin Timberlake,https://koncertyw.pl/justin-timberlake-krakow-tauron-arena-26-07-2024/,Kraków, 26.07.2024r.,Tauron Arena,"20.55 - Justin Timberlake 
 ",50.0677147,19.9913921
504,504,Warsaw Rocks 2024,https://koncertyw.pl/warsaw-rocks-2024/,Warszawa, 26.07.2024r.,Stadion Narodowy,"Poznaliśmy kolejne zespoły, które zagrają na Stadionie Narodowym na Warsaw Rocks 2024! Jest to Dżem oraz Omega Testamentum, którzy zagrają przed Scorpions i Europe. 
 ",52.23925550000001,21.0453352
505,505,Łódź Summer Festival 2024,https://koncertyw.pl/lodz-summer-festival-2024/,Łódź, 26-28.07.2024r.,other,,51.7592924,19.4558778
506,506,Kiefer Sutherland,https://koncertyw.pl/kiefer-sutherland-krakow-kwadrat-26-07-2024/,Kraków, 26.07.2024r.,Kwadrat,"Kiefer Sutherland, którego możecie kojarzyć z jego kariery aktorskiej, zagra koncert w Polsce, gdzie będzie promował swój autorski materiał zerbany na trzech albumach studyjnych. Kiefer Sutherland zagra w krakowskim klubie Kwadrat 26. lipca 2024 roku. 
 ",50.0839039,19.9964117
507,507,Justin Timberlake,https://koncertyw.pl/justin-timberlake-krakow-tauron-arena-27-07-2024/,Kraków, 27.07.2024r.,Tauron Arena,"20.55 - Justin Timberlake 
 ",50.0677147,19.9913921
508,508,The Bridge City Sinners,https://koncertyw.pl/the-bridge-city-sinners-warszawa-hydrozagadka-28-07-2024/,Warszawa, 28.07.2024r.,Hydrozagadka,"The Bridge City Sinners, przedstawiciele folka z elementami jazzu czy punkrocka, po raz pierwszy odwiedzą nasz kraj i zagrają 28. lipca 2024 roku w warszawskiej Hydrozagadce! Sprawdźcie ten zespół, jeśli lubicie folkowe przeboje! 
 Cany biletów na kocnert w Warszawie The Bridge City Sinners rozpoczynają się od 101zł. Do tych kwot może zostać doliczona opłata serwisowa. Bilety są już w sprzedaży! 
 ",52.2592766,21.0369122
509,509,Cancer Bats,https://koncertyw.pl/cancer-bats-warszawa-hydrozagadka-29-07-2024/,Warszawa, 29.07.2024r.,Hydrozagadka,,52.2592766,21.0369122
510,510,Korn,https://koncertyw.pl/korn-katowice-spodek-30-07-2024/,Katowice, 30.07.2024r.,Spodek,"20.45 - Korn 
 Korn zagra 30. lipca 2024 roku w katowickim Spodku! 
 ",50.26605310000001,19.0253699
511,511,The Cult,https://koncertyw.pl/the-cult-warszawa-progresja-30-07-2024/,Warszawa, 30.07.2024r.,Letnia Scena Progresji,"20.45 - The Cult 
 The Cult, czyli jeden z najważniejszych zespołów rockowych z lat osiemdziesiątych zagrają koncert w Polsce! I to po 14 latach. Brytyjczycy wystąpią na Letniej Scenie Progresji w Warszawie 30. lipca 2024 roku. Pozycja obowiązkowa dla fanów rocka wywodzącego się z post-punku i gotyckich klimatów! Będzie to dopiero trzecia wizyta The Cult w Polsce. Poprzednio grali również w Warszawie, w 2006 i 2010 roku. 
 Ceny biletów na warszawski koncert The Cult zaczynają się od 239zł. Do tej kwoty należy doliczyć opłatę serwisową. Bilety będą w sprzedaży od 19. kwietnia.  
 ",52.2248057,20.9288555
512,512,Męskie Granie 2024,https://koncertyw.pl/meskie-granie-2024/,other,other,other,"Wiemy już kiedy pojawią się bilety na kolejną edycję! Bilety na Męskie Granie 2024 w przedsprzedaży na Allegro pojawią się 6. lutego i dzień później na platformie eBilet. 
 ",51.919438,19.145136
513,513,Soulfly,https://koncertyw.pl/soulfly-warszawa-progresja-1-08-2024/,Warszawa, 1.08.2024r.,Progresja,"20.00 – Soulfly 
 Soulfly dowodzone przez legendę brazylijskiego (i nie tylko) metalu w postaci Maxa Cavalery odwiedzą na swojej trasie również Polskę i zagrają w warszawskiej Progresji 1. sierpnia 2024 roku. Soulfly regularnie odwiedzają nasz kraj, a swój ostatni koncert w Polsce zagrali w Krakowie w zeszłym roku, zahaczając jeszcze wcześniej o Jarocin. 
 Poznaliśmy także cey biletów na warszawski koncert Soulfly, a wejściówki, dostępne już w sprzedaży, można zakupić od 139zł plus opłaty serwisowe. 
 ",52.2248057,20.9288555
514,514,Taylor Swift,https://koncertyw.pl/taylor-swift-warszawa-narodowy-2-08-2024/,Warszawa, 1-2-3.08.2024r.,Stadion Narodowy,"około 19:30 – Taylor Swift 
 Taylor Swift, jedna z najbardziej rozpoznawalnych gwiazd pop na świecie, przyjedzie do Polski na trzy koncerty, które odbędą się 1, 2 i 3 sierpnia 2024 roku. Na koncertach supportem będzie popularny zespół rockowy Paramore.  
 Bilety na koncerty Taylor Swift są już dostępne od 12 lipca dla zarejestrowanych użytkowników. Ceny biletów na koncert Taylor Swift wahają się od 199 zł do 749 zł, co daje fanom różne opcje, aby doświadczyć tego niezapomnianego wydarzenia muzycznego. Bilety są imienne i na jedną transakcję można zakupić maksymalnie 4 bilety. Nie przegap okazji, aby zobaczyć tę niesamowitą artystkę na żywo! 
 ",52.23925550000001,21.0453352
515,515,Pol’and’Rock 2024,https://koncertyw.pl/polandrock-2024/,Czaplinek, 1-3.08.2024r.,other,,53.55802,16.233519
516,516,Paul Kalkbrenner,https://koncertyw.pl/paul-kalkbrenner-warszawa-letnia-scena-progresji-2-08-2024/,Warszawa, 2.08.2024r.,Letnia Scena Progresji,"20.30 - Paul Kalkbrenner 
 ",52.2248057,20.9288555
517,517,OFF Festival 2024,https://koncertyw.pl/off-festival-2024/,Katowice, 2-4.08.2024r.,other,"OFF Festival 2024 jak co roku odbywać się będzie w pierwszym weekendzie sierpnia. Kolejna edycja OFF Festival odbędzie się 2-4.08.2023r. Ponownie wrócimy do Doliny Trzech Stawów, gdzie już tradycyjnie będziemy mogli się spotkać w Katowicach. 
 ",50.26489189999999,19.0237815
518,518,Devendra Banhart,https://koncertyw.pl/devendra-banhart-warszawa-progresja-3-08-2024/,Warszawa, 3.08.2024r.,Letnia Scena Progresji,,52.2248057,20.9288555
519,519,D.R.I.,https://koncertyw.pl/dri-krakow-kwadrat-3-08-2024/,Kraków, 3.08.2024r.,Kwadrat,,50.0839039,19.9964117
520,520,Combichrist,https://koncertyw.pl/combichrist-warszawa-hybrydy-3-08-2024/,Warszawa, 3.08.2024r.,Hybrydy,,52.232747,21.0115784
521,521,Toxic Holocaust,https://koncertyw.pl/toxic-holocaust-gdynia-ucho-5-08-2024/,Gdynia, 5.08.2024r.,other,,54.518352,18.5291932
522,522,Whitechapel,https://koncertyw.pl/whitechapel-krakow-kwadrat-6-08-2024/,Kraków, 6.08.2024r.,Kwadrat,,50.0839039,19.9964117
523,523,Mr Big,https://koncertyw.pl/mr-big-wroclaw-a2-6-08-2024/,Wrocław, 6.08.2024r.,A2,"20.30 - Mr Big 
 ",51.1084385,17.001901
524,524,Red Fang,https://koncertyw.pl/red-fang-warszawa-proxima-6-08-2024/,Warszawa, 6.08.2024r.,Proxima,"Energetyczne gitarowe riffy, które rozbujają nawet największego sztywniaka, groove napędzany dynamicznymi bębnami oraz surowy i pełny pasji wokal dodający jeszcze więcej intensywności do tej już mocnej mieszanki. To wszystko ubrane w stonerowy strój z elementami charakterystycznymi dla hard rocka, co daje nam poczucie obcowania z czymś świeżym, ale też pełnym nostalgii i klasycznych brzmień. Red Fang, bo o nich mowa, już 6. sierpnia wystąpią w Warszawie w Proximie. A może to być ostatnia okazja na zobaczenie Amerykanów w najbliższym czasie, o czym wspominał w wywiadzie dla „Teraz Rocka” wokalista zespołu, Bryan Giles, zapowiadając dłuższą przerwę w działalności zespołu. 
 Bilety na warszawski koncert Red Fang w Proximie można kupić od 126,5zł plus opłaty serwisowe. Bilety dalej są w sprzedaży! 
 ",52.2126354,20.9872177
525,525,God Is An Astronaut,https://koncertyw.pl/god-is-an-astronaut-lublin-radio-lublin-6-08-2024/,Lublin, 6.08.2024r.,other,"Bilety na koncert God Is An Astronaut w Lublinie są już w sprzedaży! Wejściówki można kupić od 133zł plus opłata serwisowa.   
 ",51.2509458,22.5747275
526,526,Toxic Holocaust,https://koncertyw.pl/toxic-holocaust-poznan-2progi-6-08-2024/,Poznań, 6.08.2024r.,2progi,,52.4148447,16.9264591
527,527,Whitechapel,https://koncertyw.pl/whitechapel-warszawa-proxima-7-08-2024/,Warszawa, 7.08.2024r.,Proxima,,52.2126354,20.9872177
528,528,God Is An Astronaut,https://koncertyw.pl/god-is-an-astronaut-wroclaw-a2-7-08-2024/,Wrocław, 7.08.2024r.,A2,"Bilety na koncert God Is An Astronaut we Wrocławiu są już w sprzedaży! Wejściówki można kupić od 133zł plus opłata serwisowa.   
 ",51.1084385,17.001901
529,529,Cynic,https://koncertyw.pl/cynic-krakow-kwadrat-7-08-2024/,Kraków, 7.08.2024r.,Kwadrat,,50.0839039,19.9964117
530,530,Exodus,https://koncertyw.pl/exodus-warszawa-progresja-8-08-2024/,Warszawa, 8.08.2024r.,Progresja,"21.50 - Exodus 
 ",52.2248057,20.9288555
531,531,Motionless In White,https://koncertyw.pl/motionless-in-white-krakow-kwadrat-8-08-2024/,Kraków, 8.08.2024r.,Klub Studio,,50.0680363,19.9082968
532,532,God Is An Astronaut,https://koncertyw.pl/god-is-an-astronaut-krakow-kwadrat-9-08-2024/,Kraków, 9.08.2024r.,Kwadrat,"Bilety na koncert God Is An Astronaut w Krakowie są już w sprzedaży! Wejściówki można kupić od 133zł plus opłata serwisowa.   
 ",50.0839039,19.9964117
533,533,Cynic,https://koncertyw.pl/cynic-warszawa-hydrozagadka-10-08-2024/,Warszawa, 10.08.2024r.,Hydrozagadka,,52.2592766,21.0369122
534,534,Cynic,https://koncertyw.pl/cynic-poznan-2progi-11-08-2024/,Poznań, 11.08.2024r.,2progi,,52.4148447,16.9264591
535,535,Dragonforce,https://koncertyw.pl/dragonforce-krakow-klub-studio-12-08-2024/,Kraków, 12.08.2024r.,Klub Studio,"21.15 - Dragonforce 
 Pionierzy ekstremalnego power metalu i zespół uznawany za jeden z najszybciej grających na świecie, Dragonforce, wraz z gościem specjalnym w postaci Nekrogoblikon, odwiedzą Klub Studio w Krakowie 12. sierpnia 2024 roku! A jest co świętować na tej trasie, bo Dragonforce wydali niedawno kolejny album po pięcioletniej przerwie.  
 Za bilet na krakowski koncert Dragonforce trzeba zapłacić od 148zł za miejsce stojące w Klubie Studio. 
 ",50.0680363,19.9082968
536,536,Comeback Kid,https://koncertyw.pl/comeback-kid-poznan-2progi-12-08-2024/,Poznań, 12.08.2024r.,2progi,"Kanadyjska grupa Comeback Kid powróci do Polski na koncert po pięciu latach przerwy i zagra w Poznaniu w klubie 2progi 12. sierpnia 2024 roku! Będzie to jedyny występ w Polsce w tym roku zespołu, który charakteryzuje się graniem hardcore punku z mocnym nastawieniem na przebojowość. Jako support wystąpi amerykańskie trio Show Me The Body. 
 Poznaliśmy ceny biletów na poznański koncert Comeback Kid. Za wejściówkę na koncert trzeba będzie zapłacić od 99zł plus opłata serwisowa. Cena ta może zwiększyć się z wejściem kolejnej puli biletów. Bilety już w sprzedaży! 
 ",52.4148447,16.9264591
537,537,Grandson,https://koncertyw.pl/grandson-krakow-klub-studio-13-08-2024/,Kraków, 13.08.2024r.,Klub Studio,"20.00 - Grandson 
 ",50.0680363,19.9082968
538,538,Dead Poet Society,https://koncertyw.pl/dead-poet-society-warszawa-proxima-14-08-2024/,Warszawa, 14.08.2024r.,Proxima,"20.30 - Dead Poet Society 
 ",52.2126354,20.9872177
539,539,Glitterer,https://koncertyw.pl/glitterer-warszawa-hydrozagdka-14-08-2024/,Warszawa, 14.08.2024r.,Hydrozagadka,,52.2592766,21.0369122
540,540,Epica,https://koncertyw.pl/epica-warszawa-letnia-scena-progresji-16-08-2024/,Warszawa, 16.08.2024r.,Progresja,"21:30 – Epica 
 Na koncertowej mapie pojawiło się nowe wydarzenie, Summer Folks, które ma trafiać do fanów folku i symfonicznego metalu. Summer Folks, które odbędzie się na Letniej Scenie Progresji w Warszawie, zadebiutuje 16. sierpnia 2024 roku, a headlinerem tej imprezy będzie Epica, czyli jeden z największych obecnie przedstawicieli metalu symfonicznego. Oprócz holenderskiego zespołu pojawią się również inne grupy, które poznamy w późniejszym czasie. 
 Pierwszym gościem, który dołączy do Epica na Summer Folks 2024 będzie Finntroll. Holenderskie Blackbriar i ukraińska IGNEA wystąpią przed Epica i Finntroll.  
 Poznaliśmy ceny biletów na warszawskie Summer Folks, którego główną gwiazdą będzie Epica. Za wejściówkę w pierwszej puli trzeba zapłacić 199zł, w kolejnej 219zł, a przed samym koncertem cena będzie wynosić 240zł. 
 ",52.2248057,20.9288555
541,541,Heathen,https://koncertyw.pl/heathen-warszawa-hydrozagadka-20-08-2024/,Warszawa, 20.08.2024r.,Hydrozagadka,,52.2592766,21.0369122
542,542,Ino-Rock Festival 2024,https://koncertyw.pl/ino-rock-festival-2024/,Inowrocław, 23-24.08.2024r.,other,,52.7993317,18.2562032
543,543,Ty Segall,https://koncertyw.pl/ty-segall-warszawa-hydrozagadka-23-08-2024/,Warszawa, 23.08.2024r.,Hydrozagadka,,52.2592766,21.0369122
544,544,Marc Rebillet,https://koncertyw.pl/marc-rebillet-gdansk-stocznia-gdanska-23-08-2024/,Gdańsk, 23.08.2024r.,other,,54.35202520000001,18.6466384
545,545,Andrea Bocelli,https://koncertyw.pl/andrea-bocelli-warszawa-narodowy-24-08-2024/,Warszawa, 24.08.2024r.,Stadion Narodowy,,52.23925550000001,21.0453352
546,546,Ty Segall,https://koncertyw.pl/ty-segall-krakow-kamienna12-24-08-2024/,Kraków, 24.08.2024r.,Kamienna12,,50.06465009999999,19.9449799
547,547,Cat Power,https://koncertyw.pl/cat-power-warszawa-progresja-26-08-2024/,Warszawa, 26.08.2024r.,Progresja,"20.00 - Cat Power 
 Cat Power powraca po 11 latach do Polski! Chan Marshall wystąpi 26 sierpnia w warszawskim klubie Progresja na jedynym koncercie w naszym kraju, podczas którego zrekonstuuje legendarny set Boba Dylana z 1966 roku. 
 ",52.2248057,20.9288555
548,548,TV Girl,https://koncertyw.pl/tv-girl-warszawa-progresja-26-08-2024/,Warszawa, 26.08.2024r.,Letnia Scena Progresji,"20.30 - TV Girl 
 Indie popowy zespół TV Girl zagra koncert w Polsce w 26. sierpnia 2024 roku! Amerykanie odwiedzą Letnią Scenę Preogresji w Warszawie. Będzie to ich druga wizyta w Polsce. Wcześniej ogłoszeni byli na OFF Festivalu, jednak zrezygnowali z udziału w wydarzeniu na rzecz solowego koncertu w krakowskiej Tauron Arenie. A teraz spróbują podbić Warszawę. Jako support przed TV Girl wystąpi George Clanton, którego będziemy mogli zobaczyć również na tegorocznym OFF Festivalu. 
 Poznaliśmy też ceny wejściówek na koncert TV Girl w Polsce. Ceny biletów zaczynają się od 233zł w przypadku pierwszej puli biletów. Bilety Golden Cirlce, która upoważnia do wejścia do strefy pod sceną, od 339zł. 
 ",52.2248057,20.9288555
549,549,Emma Ruth Rundle,https://koncertyw.pl/emma-ruth-rundle-stary-klasztor-28-08-2024/,Wrocław, 28.08.2024r.,Stary Klasztor,"Emma Ruth Rundle krążąca w swojej muzyce wokół mrocznych klimatów folkowych czy też post-rockowych odwiedzi na swojej trasie również Polskę. Emma Ruth Rundle zagra w Sali Witrażowej Starego Klasztoru we Wrocławiu w środę 28. sierpnia 2024 roku. Miejscówka ta z pewnością pasuje do klimatu muzyki Amerykanki. 
 Bilety na wrocławski koncert Emma Ruth Rundle są już w sprzedaży. Za bilet trzeba zapłacić od 133zł plus opłata serwisowa. 
 ",51.1102567,17.0395908
550,550,Ill Niño,https://koncertyw.pl/ill-nino-poznan-2progi-28-08-2024/,Poznań, 28.08.2024r.,2progi,,52.4148447,16.9264591
551,551,Left To Die,https://koncertyw.pl/left-to-die-warszawa-proxima-29-08-2024/,Warszawa, 29.08.2024r.,Proxima,,52.2126354,20.9872177
552,552,Ill Niño,https://koncertyw.pl/ill-nino-warszawa-hydrozagadka-29-08-2024/,Warszawa, 29.08.2024r.,Hydrozagadka,,52.2592766,21.0369122
553,553,Zael & Ardor,https://koncertyw.pl/zael-ardor-warszawa-proxima-1-09-2024/,Warszawa, 1.09.2024r.,Proxima,,52.2126354,20.9872177
554,554,Baby Lasagna,https://koncertyw.pl/baby-lasagna-wroclaw-a2-3-09-2024/,Wrocław, 3.09.2024r.,A2,,51.1084385,17.001901
555,555,Baby Lasagna,https://koncertyw.pl/baby-lasagna-warszawa-progresja-4-09-2024/,Warszawa, 4.09.2024r.,Progresja,,52.2248057,20.9288555
556,556,Summer Dying Loud 2024,https://koncertyw.pl/summer-dying-loud-2024/,Aleksandrów Łódzki, 5-7.09.2024r.,other,,51.8194235,19.3038202
557,557,Faithless,https://koncertyw.pl/faithless-warszawa-progresja-6-09-2024/,Warszawa, 6.09.2024r.,Progresja,,52.2248057,20.9288555
558,558,DJ BoBo,https://koncertyw.pl/dj-bobo-warszawa-torwar-6-09-2024/,Warszawa, 6.09.2024r.,Torwar,"20.00 - DJ BoBo 
 ",52.2296756,21.0122287
559,559,Jalen Ngonda,https://koncertyw.pl/jalen-ngonda-poznan-tama-7-09-2024/,Poznań, 7.09.2024r.,Tama,,52.4024416,16.9223058
560,560,Karela Dust,https://koncertyw.pl/karela-dust-poznan-tama-8-09-2024/,Poznań, 8.09.2024r.,Tama,,52.4024416,16.9223058
561,561,IAMX,https://koncertyw.pl/iamx-poznan-tama-9-09-2024/,Poznań, 9.09.2024r.,Tama,,52.4024416,16.9223058
562,562,The HU,https://koncertyw.pl/the-hu-gdynia-polsat-lus-arena-10-09-2024/,Gdańsk, 10.09.2024r.,B90,"The HU powracają do Polski na dwa koncerty! Uwielbiana w Polsce mongolska grupa, która łączy klasyczne rockowe i metalowe dźwięki z folkowymi klimatami rodem z Ułan Bator, gdzie gitarowe riffy stoją w jednej linii z  dźwiękami takich instrumentów jak cuur czy morin khuur, wystąpi w Polsat Plus Arena w Gdyni 10. września 2024 roku i dwa dni później w Gliwicach. Poprzednie wizyty The HU praktycznie za każdym razem kończyły się sold outami, więc ciekawe jak to będzie kiedy kluby zamienią się w areny.  
 ",54.3646788,18.6483732
