Unnamed: 0.1,Unnamed: 0,id,date,city,store_localisation_x,store_localisation_y,product,quantity,event_ID,is_event,min_people,max_people
0,0,1,01.04.2024,Krakow,50.068749673754766,19.90993680739393,beer,175,-1,-1.0,-1.0,-1.0
1,1,2,01.04.2024,Krakow,50.068749673754766,19.90993680739393,bread/bakery,233,-1,-1.0,-1.0,-1.0
2,2,3,01.04.2024,Krakow,50.068749673754766,19.90993680739393,beverages,364,-1,-1.0,-1.0,-1.0
3,3,4,01.04.2024,Krakow,50.068749673754766,19.90993680739393,dairy,50,-1,-1.0,-1.0,-1.0
4,4,5,01.04.2024,Krakow,50.068749673754766,19.90993680739393,eggs,70,-1,-1.0,-1.0,-1.0
5,5,6,01.04.2024,Krakow,50.068749673754766,19.90993680739393,sweets,360,-1,-1.0,-1.0,-1.0
6,6,7,01.04.2024,Krakow,50.068749673754766,19.90993680739393,meat,33,-1,-1.0,-1.0,-1.0
7,7,8,01.04.2024,Krakow,50.068749673754766,19.90993680739393,cleaning_products,212,-1,-1.0,-1.0,-1.0
8,8,9,01.04.2024,Krakow,50.068749673754766,19.90993680739393,vegetables,393,-1,-1.0,-1.0,-1.0
9,9,10,01.04.2024,Krakow,50.068749673754766,19.90993680739393,fruits,393,-1,-1.0,-1.0,-1.0
10,10,11,01.04.2024,Krakow,50.068749673754766,19.90993680739393,chips,192,-1,-1.0,-1.0,-1.0
11,11,12,01.04.2024,Krakow,50.068749673754766,19.90993680739393,ice_cream,199,-1,-1.0,-1.0,-1.0
12,12,13,01.04.2024,Krakow,50.068749673754766,19.90993680739393,alcohol,99,-1,-1.0,-1.0,-1.0
13,13,14,01.04.2024,Krakow,50.07587092194372,19.931398629767745,beer,175,-1,-1.0,-1.0,-1.0
14,14,15,01.04.2024,Krakow,50.07587092194372,19.931398629767745,bread/bakery,221,-1,-1.0,-1.0,-1.0
15,15,16,01.04.2024,Krakow,50.07587092194372,19.931398629767745,beverages,383,-1,-1.0,-1.0,-1.0
16,16,17,01.04.2024,Krakow,50.07587092194372,19.931398629767745,dairy,28,-1,-1.0,-1.0,-1.0
17,17,18,01.04.2024,Krakow,50.07587092194372,19.931398629767745,eggs,61,-1,-1.0,-1.0,-1.0
18,18,19,01.04.2024,Krakow,50.07587092194372,19.931398629767745,sweets,299,-1,-1.0,-1.0,-1.0
19,19,20,01.04.2024,Krakow,50.07587092194372,19.931398629767745,meat,66,-1,-1.0,-1.0,-1.0
20,20,21,01.04.2024,Krakow,50.07587092194372,19.931398629767745,cleaning_products,263,-1,-1.0,-1.0,-1.0
